ID,Class,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Feature21,Feature22,Feature23,Feature24,Feature25,Feature26,Feature27,Feature28,Feature29,Feature30,Feature31,Feature32,Feature33,Feature34,Feature35,Feature36,Feature37,Feature38,Feature39,Feature40,Feature41,Feature42,Feature43,Feature44,Feature45,Feature46,Feature47,Feature48,Feature49,Feature50,Feature51,Feature52,Feature53,Feature54,Feature55,Feature56,Feature57,Feature58,Feature59,Feature60,Feature61,Feature62,Feature63,Feature64,Feature65,Feature66,Feature67,Feature68,Feature69,Feature70,Feature71,Feature72,Feature73,Feature74,Feature75,Feature76,Feature77,Feature78,Feature79,Feature80
5904,butterfly,4,3,7,5,1,3,2,6,6,1,1,2,4,5,1,0,0,0,1,1,1,4,5,5,2,3,3,7,5,4,1,4,3,7,4,2,4,3,7,4,3,0,6,3,7,5,1,7,4,5,1,3,4,7,7,1,4,4,7,3,0,0,1,4,2,0,1,4,6,3,1,3,4,6,4,1,3,4,5,1
5905,hedgehog,2,0,0,0,0,0,1,2,1,0,0,1,1,2,1,2,0,0,0,0,3,1,2,1,2,2,2,4,5,5,0,0,1,4,4,3,0,0,3,1,5,3,3,4,1,0,2,5,2,2,0,1,0,3,2,3,2,4,3,4,1,3,2,3,2,0,3,4,2,2,0,3,3,1,1,1,1,1,1,1
5906,kangaroo,3,5,6,3,5,3,4,5,7,4,5,1,5,4,6,5,2,6,5,5,4,3,4,6,5,3,4,5,6,5,4,4,5,4,5,3,5,6,5,4,3,4,4,3,4,5,1,6,4,5,4,4,5,4,4,1,6,6,5,4,4,1,4,6,6,5,1,7,3,6,4,3,5,4,5,1,3,2,4,4
5907,crayfish,0,1,2,0,2,1,0,2,0,2,3,4,2,1,1,1,1,0,1,1,2,2,4,3,2,6,1,6,4,4,3,3,4,4,2,0,1,0,1,2,1,3,0,2,0,5,2,4,6,3,2,3,4,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,3,1,0,0,0,0,0,0,0,0
5908,BACKGROUND_Google,2,2,0,0,0,1,4,1,2,3,0,4,1,0,3,5,2,0,2,0,4,0,0,0,1,3,1,3,3,2,3,1,1,2,2,7,1,0,1,0,4,1,0,0,2,2,1,1,2,7,2,2,0,3,3,7,0,0,0,1,4,3,1,2,0,2,4,4,0,5,3,4,4,0,4,6,3,0,1,1
5909,Motorbikes,1,0,0,0,0,0,1,1,1,1,0,1,1,1,2,1,0,0,1,1,3,1,1,3,3,2,5,2,4,5,1,4,5,4,6,2,2,1,1,3,4,0,1,2,2,3,3,6,5,6,2,5,4,6,6,3,0,2,4,4,1,0,0,4,0,0,6,1,0,1,0,6,0,1,1,1,2,3,0,1
5910,windsor_chair,0,0,0,0,0,2,3,3,3,2,4,5,3,3,3,0,3,1,0,1,2,1,2,0,1,7,1,1,1,1,6,2,5,3,1,0,3,0,2,1,3,0,0,2,3,5,4,3,3,2,6,2,2,3,2,3,1,2,4,1,1,1,4,0,2,0,4,5,2,3,4,1,4,2,4,0,1,3,0,0
5911,dalmatian,1,1,5,2,2,2,3,4,3,2,2,2,2,4,2,3,4,3,4,4,4,0,2,3,2,4,2,5,6,4,6,1,6,5,3,3,4,2,3,3,1,0,1,0,1,5,2,6,6,4,5,1,6,5,4,3,3,1,4,3,0,1,1,0,1,5,2,6,5,3,6,1,6,5,3,6,1,5,5,4
5912,Motorbikes,0,1,0,1,0,0,3,0,2,2,1,5,3,4,4,1,2,0,0,1,2,2,3,1,2,2,3,7,5,4,4,3,4,5,6,4,2,3,5,4,3,3,2,5,4,2,4,5,5,6,4,3,5,5,6,3,4,1,4,3,1,3,3,2,2,0,5,4,1,2,1,4,1,4,3,2,4,3,1,2
5913,inline_skate,0,0,0,0,0,0,0,0,0,0,2,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,2,2,6,6,2,0,0,1,1,0,2,1,0,1,1,5,7,1,4,1,4,2,0,6,1,1,0,1,2,0,2,3,3,2,1,3,2,3,3,2,3,2,2,3,1,2,2,2,4
5914,kangaroo,1,3,2,4,2,1,1,1,4,2,3,1,5,4,2,0,1,2,5,3,0,0,3,4,2,2,2,6,6,3,3,2,5,1,3,2,3,6,5,4,0,4,7,3,5,3,4,7,4,5,3,5,6,4,5,4,4,6,6,4,0,7,5,4,3,1,6,2,6,5,1,6,5,3,5,2,5,6,5,6
5915,Faces,0,0,3,0,0,1,3,6,5,2,0,1,0,2,0,1,2,0,0,0,3,0,2,2,1,4,2,3,6,3,4,0,0,1,1,1,0,0,0,1,4,0,0,1,0,6,2,6,4,4,3,0,1,0,2,0,0,0,0,0,1,1,3,3,4,3,2,6,6,5,3,3,2,4,2,3,4,4,5,4
5916,hawksbill,2,1,3,5,2,1,1,3,4,3,2,2,2,4,4,1,0,1,2,2,1,2,4,4,3,2,3,6,6,5,3,3,6,6,5,2,2,2,4,4,2,2,4,4,3,3,2,6,6,5,3,1,6,4,5,2,1,3,5,4,0,1,2,2,2,1,2,3,2,3,0,0,1,1,1,0,0,1,1,1
5917,Motorbikes,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,5,2,5,3,2,3,4,5,5,0,0,0,2,1,2,0,2,2,2,3,3,5,6,4,5,1,3,4,4,2,1,3,3,2,0,0,0,1,0,0,5,1,0,0,0,2,0,1,1,0,1,1,0,1
5918,llama,1,6,2,1,3,0,6,2,0,1,0,6,1,2,2,2,7,3,1,4,3,4,2,0,2,3,5,4,6,2,3,5,4,4,4,3,5,3,3,2,3,1,2,2,3,5,3,5,3,4,3,3,6,6,4,2,2,2,2,3,2,4,2,2,4,1,5,3,4,3,2,5,4,2,4,3,5,2,3,3
5919,Motorbikes,1,2,0,0,2,2,2,2,4,2,1,3,2,3,2,1,2,1,1,0,3,1,3,3,2,3,5,6,4,3,1,5,6,4,5,2,4,1,4,1,4,2,1,3,2,2,4,6,4,6,5,2,5,6,6,2,2,3,5,3,1,1,0,1,0,0,5,0,1,1,0,6,3,1,1,0,2,2,0,1
5920,schooner,0,5,1,4,5,3,4,2,5,5,2,2,1,3,6,1,1,3,3,3,2,0,2,6,5,4,1,3,4,6,4,0,3,2,4,1,2,4,4,6,2,2,2,6,6,3,2,5,1,5,3,5,3,3,3,1,5,5,2,6,4,1,3,7,7,6,2,3,4,2,3,1,5,4,2,1,5,4,5,7
5921,pyramid,1,4,5,6,2,2,5,5,4,2,1,6,5,3,3,1,5,5,6,3,2,3,1,7,3,3,3,6,3,5,3,2,4,6,6,1,6,4,4,2,0,4,6,2,4,2,5,7,4,5,4,3,4,7,5,2,5,4,6,4,1,5,2,2,3,4,1,2,4,4,0,4,2,3,1,1,4,2,4,5
5922,ketch,0,0,0,0,1,1,0,1,1,1,2,3,3,1,2,0,0,0,1,1,2,1,2,2,2,5,1,1,1,1,3,3,4,3,2,5,4,1,2,2,4,2,5,3,4,6,1,4,4,1,2,4,3,3,2,4,4,3,1,3,1,4,3,6,4,2,6,4,4,3,3,6,3,2,3,4,5,5,3,3
5923,Motorbikes,1,2,2,0,1,2,4,2,4,3,3,2,3,3,2,2,3,2,0,1,2,3,3,2,1,2,5,2,4,6,2,3,4,6,7,3,3,2,3,2,2,1,0,3,2,1,6,3,6,5,4,4,4,3,5,3,3,1,1,4,1,1,0,0,0,0,3,0,0,0,0,5,0,2,1,2,3,0,0,1
5924,Motorbikes,1,1,0,0,0,0,2,0,0,0,0,2,0,0,0,1,1,0,0,0,2,0,2,0,1,1,3,2,4,5,1,4,3,5,6,3,0,0,2,2,3,0,0,0,1,1,5,5,4,4,0,2,5,2,3,3,1,3,2,3,1,1,0,0,0,0,2,0,0,0,0,2,0,0,0,1,1,0,0,0
5925,wild_cat,2,4,3,1,4,1,4,3,5,5,0,5,4,2,4,3,3,5,5,5,2,1,4,3,6,2,4,6,2,5,3,4,6,3,5,4,3,6,4,5,4,3,5,5,4,3,2,6,6,4,2,4,5,6,6,4,1,4,6,6,2,4,2,4,6,2,5,3,5,5,2,4,2,6,6,3,3,3,3,6
5926,headphone,0,0,0,0,0,1,0,4,0,3,0,3,2,2,1,1,0,0,4,2,1,0,1,0,1,2,1,5,1,4,0,0,1,0,2,4,0,1,2,3,1,0,0,1,1,0,1,1,1,2,2,0,6,1,3,3,0,3,1,3,1,0,0,1,1,1,3,2,3,5,3,1,1,2,2,0,0,0,0,0
5927,pigeon,3,3,5,6,5,3,3,7,6,5,4,3,6,6,5,4,1,7,6,5,2,3,6,7,5,4,2,6,5,6,3,3,6,4,5,4,3,6,4,4,3,3,6,4,7,2,3,7,4,6,3,2,6,5,5,3,2,7,3,5,3,2,5,6,7,2,4,5,3,6,4,4,2,7,5,1,3,6,6,7
5928,hawksbill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,4,2,2,1,2,2,2,3,1,1,1,2,3,1,1,4,3,3,2,2,6,4,7,2,3,6,3,6,2,3,3,5,7,3,2,6,5,6,1,3,6,6,6,3,4,5,5,6,3,1,4,6,7
5929,tick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,2,3,3,2,1,1,1,1,3,3,0,0,1,1,2,1,0,1,1,2,4,2,4,5,6,5,1,2,3,6,0,0,0,0,1,1,0,0,0,1,2,0,1,1,1,1,0,1,0,2,0,0,0,0,0
5930,BACKGROUND_Google,5,0,0,0,2,2,2,5,0,3,4,2,5,6,3,4,1,3,3,2,1,2,3,1,2,5,1,3,5,5,4,2,7,6,3,2,3,6,3,2,3,1,3,2,1,1,5,3,6,2,1,4,7,3,4,1,1,3,4,2,5,2,5,7,0,0,4,1,7,0,3,4,0,7,3,0,2,1,2,1
5931,metronome,6,1,4,4,4,6,1,5,4,3,6,1,4,5,3,5,1,4,5,4,2,2,1,2,2,4,3,4,5,4,3,3,2,3,3,2,1,0,1,2,0,0,0,0,0,4,2,3,7,6,2,2,2,4,4,0,0,0,0,0,0,0,1,0,0,1,4,4,4,5,1,4,3,3,4,0,0,0,0,0
5932,rhino,2,5,5,4,6,2,6,4,3,5,0,5,7,4,5,2,6,4,6,5,5,2,6,6,4,3,2,5,4,7,6,1,5,4,5,3,3,5,6,6,5,1,6,6,5,2,4,6,4,6,4,4,7,5,4,5,2,5,4,6,3,5,6,4,5,1,4,6,6,6,1,3,6,6,7,1,4,5,5,7
5933,minaret,0,0,2,0,1,0,0,2,0,2,0,0,0,0,1,2,0,0,2,3,0,0,2,0,0,2,0,0,0,1,1,0,1,0,3,1,2,6,0,4,1,0,3,0,3,0,2,7,2,5,0,2,4,3,5,0,0,0,0,1,0,0,4,4,7,0,0,0,1,2,1,0,3,0,1,0,0,1,0,2
5934,Faces,1,6,0,2,2,2,3,7,3,4,4,3,2,7,3,5,1,0,2,0,2,7,2,1,2,5,2,6,7,4,6,1,6,6,3,5,3,0,1,0,2,6,3,2,3,6,2,4,6,3,6,1,5,2,4,1,3,1,1,2,2,3,2,3,2,4,2,5,6,4,3,1,5,7,3,2,1,2,3,1
5935,watch,3,2,6,3,5,2,2,6,1,6,2,3,4,3,3,3,1,5,4,7,4,4,7,1,4,3,2,5,4,7,2,3,1,7,6,3,2,2,4,4,4,3,5,5,5,3,4,6,7,4,4,4,7,4,4,4,2,5,5,7,1,3,2,6,7,1,3,2,5,7,1,2,5,4,7,1,2,5,4,7
5936,ewer,0,1,0,1,0,0,2,3,4,2,2,2,4,0,3,3,1,0,4,2,0,3,0,0,0,6,1,3,4,4,6,3,1,6,2,3,2,3,0,3,2,2,4,1,1,7,1,3,5,1,6,0,4,1,3,0,1,0,6,2,2,2,3,4,5,1,4,4,6,4,3,3,6,4,2,3,1,5,5,5
5937,cougar_body,1,5,6,4,5,1,5,4,4,5,2,2,4,5,7,3,1,4,4,4,1,5,6,1,4,0,5,6,2,4,1,4,4,3,4,2,2,5,5,5,3,1,6,2,4,3,1,4,4,2,1,2,1,4,4,2,3,5,5,7,2,4,4,2,7,2,5,4,6,4,1,5,5,5,5,1,4,4,3,7
5938,crocodile,2,5,5,3,6,1,6,5,6,5,1,6,2,7,5,1,5,5,5,6,2,5,2,4,6,1,1,5,6,7,1,4,4,5,7,2,2,3,6,7,1,5,5,7,3,1,4,5,6,5,1,6,4,6,3,1,6,4,6,5,1,4,6,4,6,3,4,5,5,6,1,4,6,6,6,1,4,6,4,7
5939,dalmatian,0,0,0,0,1,1,1,5,2,3,1,0,1,3,2,0,0,0,0,1,1,1,4,3,3,2,3,5,6,4,5,1,4,5,3,0,0,0,0,2,0,0,0,1,1,1,0,1,2,2,6,1,5,4,3,3,1,4,3,3,0,0,0,0,1,0,0,0,0,1,6,1,3,4,4,3,1,5,1,3
5940,menorah,3,1,1,2,2,4,2,3,2,3,4,2,3,3,3,3,0,2,0,1,1,0,0,0,1,1,3,2,3,6,1,1,3,3,6,1,0,0,0,1,0,1,0,0,0,2,1,3,0,1,1,0,0,1,1,0,1,0,0,0,0,6,0,0,0,0,5,2,1,3,0,4,3,2,1,0,6,0,0,0
5941,pigeon,3,2,6,3,7,2,2,5,6,7,2,3,5,4,7,1,3,5,6,7,2,3,6,7,6,1,4,6,5,7,3,3,6,3,6,2,4,4,4,7,4,2,5,6,7,2,4,5,4,7,1,2,5,5,7,2,4,6,6,6,3,3,4,6,7,2,2,5,6,7,1,4,5,5,7,3,2,4,6,7
5942,BACKGROUND_Google,0,4,1,0,3,0,2,0,0,1,2,1,3,2,1,1,1,1,4,2,0,2,0,1,1,0,2,1,2,1,2,4,2,3,3,0,1,1,0,0,0,2,0,3,2,1,4,2,0,3,1,2,2,0,2,0,0,0,0,0,1,2,0,5,2,2,1,2,1,2,1,3,1,1,3,0,3,2,0,2
5943,BACKGROUND_Google,2,3,7,7,3,2,6,5,5,4,1,5,6,6,4,4,2,5,7,5,4,5,6,7,3,2,6,5,6,3,1,5,7,6,3,4,4,7,7,1,4,3,7,7,3,1,6,6,5,4,2,3,7,7,3,2,4,7,7,4,4,4,7,7,3,1,6,3,6,4,6,3,6,4,3,4,1,7,7,5
5944,mandolin,1,3,0,0,0,1,2,1,1,1,4,3,1,1,2,2,2,1,1,2,1,3,3,3,2,4,3,2,2,3,2,4,4,5,5,3,5,2,4,3,0,3,1,1,1,4,1,2,5,3,1,2,0,3,2,1,4,2,2,2,0,2,0,1,0,3,4,3,3,4,1,5,2,2,1,2,3,2,1,2
5945,schooner,0,0,0,0,0,1,1,1,0,1,1,0,4,0,4,2,0,0,0,1,0,0,0,0,0,5,0,4,1,5,4,0,5,1,7,4,0,0,0,2,1,0,4,0,2,7,0,7,3,3,4,0,7,2,3,3,0,0,0,3,2,5,4,6,5,2,5,5,5,3,0,6,5,2,2,1,5,3,3,6
5946,ibis,5,2,6,6,5,6,2,6,5,5,6,2,4,4,6,5,1,7,5,5,6,2,4,6,4,3,2,7,6,5,1,4,5,7,4,5,3,6,6,4,6,3,6,5,2,1,3,5,5,1,3,2,6,4,3,4,2,7,7,4,2,6,6,5,4,2,6,5,2,5,5,4,5,5,5,4,3,6,5,5
5947,Motorbikes,5,4,0,1,4,2,6,3,1,3,3,0,2,4,2,4,0,1,1,1,5,2,4,4,5,2,4,4,5,5,2,4,5,4,6,3,5,4,4,3,4,3,4,4,7,0,5,6,6,6,5,1,6,5,7,4,2,5,6,6,3,2,4,4,5,1,3,6,3,5,1,2,3,5,6,1,3,5,6,5
5948,Motorbikes,1,1,1,1,1,0,1,3,2,2,0,2,1,1,2,1,1,2,1,1,3,2,3,0,1,0,5,1,6,5,2,5,3,5,6,2,1,2,2,3,3,1,3,1,3,1,7,2,2,6,3,3,6,5,6,3,1,3,4,4,1,2,0,3,1,0,6,2,1,2,0,6,0,1,1,0,3,4,1,1
5949,airplanes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,2,1,2,0,0,3,1,0,2,0,2,3,0,1,2,4,2,6,5,0,6,6,4,2,1,5,5,1,2,0,1,2,2,2,1,7,4,4,2,0,7,3,3,1,2,6,1,3,3,1,6,3,0,3
5950,cannon,3,4,4,5,4,4,3,6,5,5,4,4,2,4,4,2,5,4,6,2,2,2,4,4,4,3,2,2,1,3,4,2,0,5,5,3,2,4,5,6,2,5,5,4,4,1,3,3,3,6,4,2,4,4,5,3,2,5,5,6,2,3,4,2,2,2,4,3,4,5,4,4,3,4,5,0,4,4,3,5
5951,airplanes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,1,0,2,0,1,1,1,1,2,2,4,3,3,3,0,3,1,2,2,0,1,2,1,0,4,3,2,2,2,5,6,4,4,1,0,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
5952,umbrella,0,2,4,1,0,0,4,3,4,1,0,4,3,2,1,0,3,1,2,0,1,1,2,1,2,0,5,2,2,2,1,5,2,2,2,1,2,1,2,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,3,3,3,4,2,2,2,3,4,2,2,3,2,3,1,2,2,2,3
5953,flamingo,0,2,5,3,2,0,2,0,2,1,0,4,0,0,0,0,5,1,4,1,1,2,0,3,1,3,4,2,2,1,2,4,4,6,4,1,3,2,6,4,1,3,4,0,0,1,4,2,2,2,2,3,4,6,5,2,4,4,4,3,0,5,2,1,1,0,2,2,0,1,2,2,2,1,3,2,1,4,4,2
5954,airplanes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,1,0,4,2,0,1,0,0,0,0,0,0,0,0,1,1,0,2,1,0,6,2,5,3,0,7,4,4,1,0,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
5955,hedgehog,3,4,6,7,3,4,4,7,7,2,4,6,6,5,2,3,5,7,6,3,4,4,5,7,3,3,3,4,6,6,2,2,3,6,7,4,4,7,6,4,4,3,5,5,6,3,2,6,4,6,2,3,6,5,6,3,1,5,6,7,3,2,4,4,7,2,3,6,5,7,3,2,6,5,7,3,3,6,5,6
5956,airplanes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,4,1,1,2,0,7,2,2,3,0,6,2,2,3,1,4,0,2,1,2,4,1,0,1,0,6,2,1,2,0,6,2,4,2,1,5,2,4,3
5957,octopus,1,3,7,3,5,2,5,6,2,6,3,2,5,5,7,2,3,7,3,6,1,6,7,2,5,1,4,7,4,6,2,3,3,6,6,2,3,3,3,7,2,2,7,0,7,4,2,6,4,6,2,2,3,6,7,1,2,4,1,7,1,1,5,3,7,1,1,5,2,7,1,1,3,5,5,4,1,4,4,7
5958,metronome,0,0,0,0,0,0,0,0,0,0,6,2,2,2,4,0,0,0,0,0,0,0,1,0,0,5,0,4,0,0,7,0,1,1,3,5,0,1,4,1,3,1,6,1,2,5,1,5,4,3,4,1,3,1,3,6,1,2,4,1,3,2,3,2,3,2,2,2,2,3,1,2,2,2,1,2,1,0,1,1
5959,crab,3,4,4,4,6,2,5,4,4,6,1,5,4,3,6,4,4,2,5,6,6,1,7,2,4,2,3,7,6,5,1,4,6,4,6,5,2,3,7,5,5,2,5,6,5,3,2,2,7,5,3,3,4,7,4,6,1,4,6,5,3,5,2,2,7,1,5,4,6,6,3,4,1,6,6,4,4,5,3,5
5960,airplanes,1,1,0,0,1,1,3,1,3,2,0,5,2,2,2,1,0,0,0,0,2,1,1,1,1,1,6,2,4,2,0,6,0,1,1,1,1,0,0,0,2,3,2,1,1,0,6,2,1,3,1,5,3,2,2,1,5,2,2,2,1,2,0,3,0,0,4,2,1,1,0,6,4,3,2,1,3,2,2,2
5961,airplanes,1,5,1,2,3,0,7,1,0,2,0,7,1,2,3,0,7,1,3,2,0,5,0,1,2,0,5,0,6,4,0,7,0,0,1,0,7,0,0,0,0,7,2,0,1,0,7,0,3,2,1,6,3,5,4,0,6,0,3,1,0,6,0,0,0,0,4,0,0,0,1,5,2,0,0,0,6,0,1,1
5962,brain,0,0,1,1,1,2,4,3,2,5,2,4,4,5,5,1,0,1,2,2,3,1,6,4,4,4,2,6,2,6,5,2,4,3,5,4,1,4,5,4,1,4,5,5,6,4,4,5,5,6,3,5,4,3,6,3,3,4,5,6,0,3,0,1,1,3,4,3,5,4,0,5,4,6,5,1,1,4,2,2
5963,gerenuk,0,0,0,0,0,2,1,2,1,3,5,2,4,3,5,2,0,0,1,2,1,1,4,1,1,3,2,2,5,7,5,3,5,2,5,4,1,3,4,4,5,3,5,4,5,1,4,4,7,5,1,6,4,6,4,5,3,6,5,5,2,7,4,2,4,1,6,6,0,4,3,5,4,5,4,1,5,4,4,5
5964,Motorbikes,1,2,1,0,0,0,0,0,0,0,0,1,1,0,1,2,2,3,1,3,2,1,2,0,1,0,4,2,1,2,2,4,4,3,5,3,3,4,4,4,2,2,4,1,3,3,5,5,3,5,4,5,3,5,5,5,3,1,6,4,2,2,0,4,3,1,6,4,5,5,1,6,5,5,4,2,4,4,4,4
5965,Faces,4,1,7,6,5,2,2,7,3,5,3,4,4,7,3,3,4,3,6,4,7,1,7,0,3,5,2,6,4,2,3,5,4,2,1,6,2,5,6,1,3,4,5,7,4,3,4,7,5,2,1,3,6,5,3,5,1,6,5,7,1,3,7,4,6,5,1,6,7,3,3,1,2,0,1,5,2,1,7,6
5966,watch,0,2,0,3,7,1,4,6,0,7,1,5,3,4,6,0,3,5,5,6,5,2,5,2,4,4,1,5,4,5,5,0,7,2,3,6,1,4,6,4,5,2,4,2,5,2,3,6,5,4,2,4,5,5,2,5,2,5,4,4,0,5,0,6,3,1,3,2,7,5,2,4,2,2,4,0,1,6,0,2
5967,BACKGROUND_Google,0,5,1,2,0,0,3,5,0,0,0,0,1,0,0,0,0,0,0,0,0,4,3,0,1,1,4,6,1,2,2,3,3,4,1,0,1,1,1,0,0,0,0,1,0,0,3,2,6,1,0,4,3,1,1,0,2,2,0,0,0,6,1,0,1,0,7,3,0,1,1,6,6,1,1,1,6,1,1,3
5968,buddha,0,0,0,0,1,0,1,3,0,3,1,1,0,1,3,0,0,0,0,1,0,0,1,0,1,3,3,4,5,4,1,1,2,6,3,0,0,0,0,1,2,0,2,3,5,6,2,4,6,5,6,2,4,4,4,0,2,1,4,2,1,4,4,5,3,1,5,3,6,6,2,4,7,4,6,1,4,5,6,5
5969,electric_guitar,0,2,4,2,4,1,5,3,5,4,1,2,2,5,6,2,2,5,3,5,2,3,5,3,5,1,6,5,3,5,1,6,6,2,4,1,5,4,5,5,4,1,2,4,5,0,7,4,3,5,1,3,5,3,5,3,1,3,3,4,1,1,3,4,5,1,4,4,4,5,0,1,2,2,5,2,0,2,1,2
5970,buddha,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,1,2,3,3,4,0,3,1,4,0,0,0,0,0,0,1,0,1,1,4,2,5,5,6,1,4,5,5,6,0,1,1,1,1,0,1,1,3,1,1,5,1,1,3,1,2,4,3,2,0,1,1,2,2
5971,Motorbikes,2,2,0,2,0,1,3,4,4,2,3,2,2,3,1,3,1,1,1,0,3,2,3,1,2,2,4,5,6,6,3,5,6,4,5,6,1,1,1,0,4,1,1,0,2,4,4,5,4,6,4,2,6,5,4,4,1,2,3,3,1,1,1,0,2,1,5,3,1,1,2,4,1,3,1,1,2,1,0,2
5972,Faces,5,1,3,0,3,3,4,3,7,4,2,3,6,6,3,4,1,3,6,4,3,0,6,5,3,3,4,5,2,2,4,3,2,7,3,5,1,4,6,5,4,1,1,6,1,6,2,5,4,3,5,3,6,6,2,4,3,6,2,3,5,1,3,1,3,5,3,3,7,3,5,2,7,3,4,3,2,2,3,3
5973,Faces,3,3,4,6,2,4,4,7,4,2,4,3,3,7,3,6,1,0,2,0,4,4,5,6,2,5,1,6,4,4,5,1,5,6,4,5,0,0,1,0,2,7,2,4,0,7,2,4,5,2,7,3,5,6,1,5,0,2,0,0,1,2,4,1,1,4,3,4,6,4,5,2,6,3,4,3,2,1,5,2
5974,flamingo,3,2,5,6,3,0,4,4,5,5,1,2,1,6,3,1,1,4,0,3,3,4,6,7,4,4,3,6,7,4,2,3,7,5,3,2,1,4,6,3,4,4,5,6,4,5,3,5,6,4,4,1,4,4,3,1,3,2,6,3,1,5,6,7,3,5,3,3,4,4,2,4,1,7,4,1,4,3,6,2
5975,stop_sign,1,1,4,2,4,1,4,3,3,5,3,5,5,5,5,2,2,5,3,6,3,1,4,3,5,4,1,1,1,1,2,2,1,5,2,4,1,4,6,7,2,1,3,7,3,2,1,1,3,2,1,2,4,1,3,2,3,4,4,5,2,3,3,3,5,1,3,3,2,2,2,1,3,2,2,2,2,3,2,2
5976,umbrella,0,0,1,0,2,0,1,2,1,3,0,1,0,3,2,0,0,0,3,1,0,2,2,0,2,0,3,2,0,1,3,2,2,0,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,5,2,2,3,3,5,2,2,2,0,3,1,1,0
5977,airplanes,2,3,2,0,2,3,3,1,2,1,1,2,3,0,2,3,1,3,2,1,1,3,2,3,3,2,6,3,3,4,1,6,5,6,4,2,4,4,4,2,1,1,2,0,1,1,7,1,2,3,0,7,1,1,5,3,6,1,1,3,1,3,0,0,0,0,5,0,0,0,0,5,0,0,0,1,6,0,1,1
5978,beaver,1,5,6,6,0,1,3,4,3,1,2,1,3,4,0,0,2,1,1,1,0,4,3,3,1,1,4,6,5,5,1,2,2,5,3,0,0,0,0,0,2,5,3,4,3,2,4,5,6,5,1,5,6,6,3,0,5,2,1,1,2,6,4,6,4,0,7,5,5,2,0,6,3,4,3,0,7,1,2,3
5979,windsor_chair,0,0,0,0,0,3,0,3,0,1,2,1,0,3,2,0,0,0,1,0,0,0,0,0,0,7,0,1,1,3,6,0,2,0,5,1,0,0,1,1,1,1,3,0,2,0,5,4,2,1,3,1,5,2,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,1,0,2,0,0,0,0,0
5980,Motorbikes,2,0,1,0,2,1,0,3,1,5,0,1,3,1,4,1,1,1,0,2,3,1,2,4,3,2,5,2,5,6,4,4,3,4,7,1,0,1,5,6,4,0,3,1,4,3,5,6,3,6,4,2,5,6,6,3,2,1,4,4,1,1,1,2,2,0,4,3,1,4,2,3,2,3,3,1,2,2,2,2
5981,cup,3,3,2,5,2,5,4,5,4,3,4,4,1,2,1,4,4,5,0,4,4,1,4,2,3,6,2,4,3,5,4,0,3,2,2,5,1,3,7,3,5,3,6,4,3,5,2,5,7,3,4,1,4,2,1,6,2,6,1,3,1,1,2,0,2,0,3,2,0,0,2,3,3,0,1,5,2,2,1,1
5982,airplanes,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,2,1,3,3,0,2,0,2,2,0,0,0,0,0,0,1,1,1,1,0,6,0,1,2,0,6,3,4,3,0,6,4,1,1,0,0,1,1,1,0,0,0,1,1,0,1,4,2,1,0,0,2,1,0
5983,watch,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,4,3,5,0,2,4,4,4,6,3,3,5,3,4,4,5,5,3,3,2,6,1,3,3,2,5,3,6,4,2,5,4,3,5,2,7,3,3,2,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0
